日付,時刻,降水量
20200912,1,6.0
20200912,2,11.0
20200912,3,0.0
20200912,4,1.0
20200912,5,1.0
20200912,6,0.5
20200912,7,3.5
20200912,8,2.5
20200912,9,2.5
20200912,10,0.5
20200912,11,0.0
20200912,12,0.0
20200912,13,0.0
20200912,14,0.0
20200912,15,0.0
20200912,16,0.0
20200912,17,0.0
20200912,18,0.0
20200912,19,0.0
20200912,20,0.0
20200912,21,0.0
20200912,22,0.0
20200912,23,0.0
20200912,24,0.0
20200913,1,0.0
20200913,2,0.0
20200913,3,0.0
20200913,4,0.0
20200913,5,0.0
20200913,6,0.0
20200913,7,0.0
20200913,8,0.0
20200913,9,0.0
20200913,10,0.0
20200913,11,0.0
20200913,12,0.0
20200913,13,0.0
20200913,14,0.0
20200913,15,0.0
20200913,16,0.0
20200913,17,-
20200913,18,-
20200913,19,-
20200913,20,-
20200913,21,-
20200913,22,-
20200913,23,-
20200913,24,-
